DATE,SPX_Adj_Close,SPX_Volume, DowJonesClose,GDPC1,GFDEBTN,M2SL,MEDCPIM158SFRBCLE,NASDAQ_Close,NETFI,PCECTPI,DEXUSUK,DEXUSJP,DEXUSEU
1/29/2014,1774.199951,3964020000,15738.79,18024.25794,17610735.79,11162.65652,2.358069845,4051.43,-363.6487879,96.82721212,1.6561,0.009784736,1.3663
1/30/2014,1794.189941,3547510000,15848.61,18027.77214,17611211.23,11165.50435,2.355657012,4123.13,-363.2492273,96.83377273,1.6487,0.009724788,1.3549
1/31/2014,1782.589966,4059690000,15698.85,18031.28633,17611686.67,11168.35217,2.353244179,4103.88,-362.8496667,96.84033333,1.645,0.009777083,1.35
2/1/2014,1762.239991,4392865000,15535.825,18034.80053,17612162.11,11171.2,2.350831346,4050.42,-362.4501061,96.84689394,1.63785,0.009833651,1.35115
2/3/2014,1741.890015,4726040000,15372.8,18038.31473,17612637.55,11172.95714,2.375028743,3996.96,-362.0505455,96.85345455,1.6307,0.009890219,1.3523
2/4/2014,1755.199951,4068410000,15445.24,18041.82892,17613112.98,11174.71429,2.39922614,4031.52,-361.6509848,96.86001515,1.63,0.009840583,1.3507
2/5/2014,1751.640015,3984290000,15440.23,18045.34312,17613588.42,11176.47143,2.423423536,4011.55,-361.2514242,96.86657576,1.6308,0.009863878,1.3519
2/6/2014,1773.430054,3825410000,15628.53,18048.85732,17614063.86,11178.22857,2.447620933,4057.12,-360.8518636,96.87313636,1.6345,0.009819324,1.3604
2/7/2014,1797.02002,3775990000,15794.08,18052.37152,17614539.3,11179.98571,2.47181833,4125.86,-360.452303,96.87969697,1.6395,0.00977326,1.3614
2/10/2014,1799.839966,3312160000,15801.79,18055.88571,17615014.74,11181.74286,2.496015726,4148.17,-360.0527424,96.88625758,1.6419,0.009790484,1.3644
2/11/2014,1819.75,3699380000,15994.77,18059.39991,17615490.18,11183.5,2.520213123,4191.04,-359.6531818,96.89281818,1.6468,0.00974374,1.3654
2/12/2014,1819.26001,3326380000,15963.94,18062.91411,17615965.62,11185.25714,2.544410519,4201.29,-359.2536212,96.89937879,1.6578,0.009758002,1.3592
2/13/2014,1829.829956,3289510000,16027.59,18066.4283,17616441.06,11187.01429,2.568607916,4240.67,-358.8540606,96.90593939,1.6643,0.009784736,1.3669
2/14/2014,1838.630005,3114750000,16154.39,18069.9425,17616916.5,11188.77143,2.592805313,4244.03,-358.4545,96.9125,1.6736,0.009821253,1.369
2/17/2014,1839.695008,3267930000,16142.395,18073.4567,17617391.94,11190.52857,2.617002709,4258.405,-358.0549394,96.91906061,1.6716,0.009797734,1.3724
2/18/2014,1840.76001,3421110000,16130.4,18076.97089,17617867.38,11192.28571,2.641200106,4272.78,-357.6553788,96.92562121,1.6696,0.009774216,1.3758
