,DATE,USD to JPY,USD to EUR,USD to GBP,Infl
272,2000-01-19,0.0094885662776354,1.0115,1.6438,
273,2000-01-20,0.0094831673779042,1.0133,1.6538,
274,2000-01-21,0.0095274390243902,1.01,1.6504,
275,2000-01-24,0.0094768764215314,1.0019,1.652,
276,2000-01-25,0.0094455464248606,1.0041,1.6482,
277,2000-01-26,0.009447331128956,1.0011,1.6395,
278,2000-01-27,0.0095319797922028,0.989,1.6363,
279,2000-01-28,0.0093327111525898,0.9765,1.621,
280,2000-01-31,0.0093170595360104,0.9757,1.6182,
281,2000-02-01,0.0092876381536175,0.9731,1.615,
282,2000-02-02,0.0092250922509225,0.9768,1.606,
283,2000-02-03,0.0092661230541141,0.9887,1.6025,
284,2000-02-04,0.0092988655384043,0.976,1.5915,
285,2000-02-07,0.0091954022988505,0.9783,1.5917,
286,2000-02-08,0.0091249201569486,0.9862,1.6105,
287,2000-02-09,0.00916506278068,0.9914,1.6115,
288,2000-02-10,0.0091962479308442,0.9865,1.6057,
289,2000-02-11,0.0091751536838242,0.9847,1.5923,
290,2000-02-14,0.0092038656235618,0.9783,1.589,
291,2000-02-15,0.0091954022988505,0.9834,1.595,
292,2000-02-16,0.0091424392027793,0.9842,1.604,
293,2000-02-17,0.0090686496780629,0.9863,1.605,
294,2000-02-18,0.009018759018759,0.985,1.5984,
295,2000-02-21,,,,
296,2000-02-22,0.0090057636887608,1.006,1.6165,
297,2000-02-23,0.0090000900009,1.0017,1.6047,
298,2000-02-24,0.0090130689499774,0.9931,1.5981,
299,2000-02-25,0.0090106325464047,0.9763,1.5908,
300,2000-02-28,0.0091600256480718,0.9669,1.5935,
301,2000-02-29,0.0091008372770294,0.9643,1.578,
302,2000-03-01,0.0093370681605975,0.97,1.5849,
303,2000-03-02,0.0093135885256589,0.9619,1.5765,
304,2000-03-03,0.0092764378478664,0.9618,1.581,
305,2000-03-06,0.0092816038611472,0.9603,1.5732,
306,2000-03-07,0.0094161958568738,0.956,1.5772,
307,2000-03-08,0.0093554121059032,0.9576,1.5855,
308,2000-03-09,0.009394081728511,0.9684,1.5815,
309,2000-03-10,0.0094099934130046,0.9659,1.5793,
310,2000-03-13,0.0094948727687049,0.9648,1.5782,
311,2000-03-14,0.0095374344301382,0.9644,1.5725,
312,2000-03-15,0.0094714908126539,0.9696,1.573,
313,2000-03-16,0.0094670074789359,0.971,1.5747,
314,2000-03-17,0.0094250706880301,0.9694,1.5705,
315,2000-03-20,0.0093896713615023,0.971,1.5686,
316,2000-03-21,0.0093536619586568,0.9703,1.5725,
317,2000-03-22,0.0093659267584527,0.9608,1.5705,
318,2000-03-23,0.0093066542577943,0.9691,1.583,
319,2000-03-24,0.0093240093240093,0.9724,1.591,
320,2000-03-27,0.0093344534677494,0.9645,1.5855,
321,2000-03-28,0.0094428706326723,0.9614,1.5872,
322,2000-03-29,0.0094696969696969,0.9524,1.587,
323,2000-03-30,0.0094759783947692,0.9594,1.5922,
324,2000-03-31,0.0097342548427917,0.9574,1.5922,
325,2000-04-03,0.0095401640908223,0.956,1.598,
326,2000-04-04,0.0094939713282065,0.9588,1.5965,
327,2000-04-05,0.0095238095238095,0.9647,1.59,
328,2000-04-06,0.0095438060698606,0.958,1.58,
329,2000-04-07,0.0094939713282065,0.959,1.583,
330,2000-04-10,0.0094011469399266,0.9588,1.5828,
331,2000-04-11,0.0093501636278634,0.9591,1.5873,
332,2000-04-12,0.0094464386926128,0.9551,1.5882,
333,2000-04-13,0.0094553706505295,0.9524,1.5881,
334,2000-04-14,0.0095129375951293,0.9564,1.586,
335,2000-04-17,0.0095978500815817,0.955,1.5853,
336,2000-04-18,0.0095611435127641,0.9477,1.5764,
337,2000-04-19,0.0095292548122736,0.9369,1.5777,
338,2000-04-20,0.0094831673779042,0.9376,1.5801,
339,2000-04-21,0.0094446543256516,0.9379,1.5785,
340,2000-04-24,0.0094643195154268,0.9396,1.58,
341,2000-04-25,0.0094598429666067,0.9265,1.5787,
342,2000-04-26,0.0093931993236896,0.9217,1.5795,
343,2000-04-27,0.0094020308386611,0.9083,1.5748,
344,2000-04-28,0.0092609742544915,0.9089,1.556,
345,2000-05-01,0.0091835797593902,0.912,1.5558,
346,2000-05-02,0.0092055601583356,0.9068,1.559,
347,2000-05-03,0.0091625435220817,0.8891,1.5605,
348,2000-05-04,0.0092447074050106,0.8907,1.5435,
349,2000-05-05,0.0092140422003132,0.8953,1.5288,
350,2000-05-08,0.0091717875813996,0.895,1.531,
351,2000-05-09,0.0091232551774473,0.9023,1.5315,
352,2000-05-10,0.0091466203237903,0.9097,1.5153,
